model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,MENE_BACSU_2_486_0,100,1.0,1.0,0.5360106917839476,6.763358392979988,-0.2644544000000002,0.95,0.06,0.98,-6.275,-6.654242424242424,-6.73,-6.920808080808082,0.5376344086021505,0.0,1.0,579.7111403010924,0.11049021424803561,100,0.71,0.643433334727125,0.57,,-7.182,-7.475,,0.0,0.0
own,PYRE_BACAN_1_210_0,100,1.0,1.0,0.5257839967364061,6.244648198153055,0.43008099999999994,1.0,0.02,0.92,,,,,0.46,0.0,1.0,646.2435063502256,0.09150520892572951,100,0.68,0.6520261850263592,0.49,,,,,0.0,0.0
own,NQO1_HUMAN_2_274_0__1dxo_C_rec,100,1.0,1.0,0.4182792140120467,6.551859945664407,-0.7659309000000001,1.0,0.29,0.85,-1.9540000000000002,-2.0033200000000004,-3.1475,-3.2338399999999994,0.08080808080808081,0.0,1.0,1053.8699664798828,0.05274862448502451,100,1.0,0.858796257551778,0.83,,-3.341,-3.251,,0.0,0.0
own,EFTU1_ECOLI_2_178_0,100,1.0,1.0,0.46707340064115116,6.610822122326322,-0.5491885,1.0,0.0,1.0,,,,,0.77,0.0,1.0,598.60647946471,0.11309383045251357,100,0.41,0.5117428120623673,0.3,,,,,0.0,0.0
own,BGL07_ORYSJ_25_504_0,100,1.0,1.0,0.22362475091144138,7.042113769060615,-0.38405710000000004,0.95,0.06,0.83,-7.6775,-7.6219,-8.047,-8.157879999999999,0.0707070707070707,0.03,0.99,2057.184730212277,0.05491928327896023,100,1.0,0.8614401931999716,0.97,,-10.768,-10.77,,0.0,0.0
own,XANLY_BACGL_26_777_0,100,1.0,1.0,0.4584282261881964,6.557873370350659,-1.0136785000000001,1.0,0.45,0.84,-5.355,-5.341519999999999,-5.7935,-5.707150000000001,0.23,0.0,1.0,799.2151136535806,0.06800817386589197,100,1.0,0.8691880215705847,0.86,,-6.218,-6.287,,0.0,0.0
own,PAC_ECOLX_27_846_0,100,1.0,1.0,0.5108071594493692,6.815710272900307,-0.33122340000000017,1.0,0.95,1.0,-5.615,-5.71605,-5.547000000000001,-5.648619999999999,0.18181818181818182,0.0,1.0,930.4544534448117,0.06738966294508192,100,0.99,0.876743424585048,0.79,,-6.871,-6.932,,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,1.0,1.0,0.4953951071443109,6.887301120577877,-1.1469463999999998,1.0,0.69,1.0,-4.7745,-5.07566,-4.882,-5.07292,0.15,0.01,0.99,829.2201163208301,0.04982176789130121,100,0.94,0.8625230092255792,0.74,,-3.697,-3.697,,0.0,0.0
own,COTA_BACSU_1_513_0,100,1.0,1.0,0.5066648781421559,6.22370813953735,0.703306,1.0,0.94,0.98,-4.640499999999999,-4.715999999999999,-4.9,-4.89865,0.3,0.0,1.0,487.6941378441339,0.06476732352715722,100,0.43,0.5749286005831873,0.3,,-4.563,-4.542,,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,1.0,1.0,0.4338536216839561,7.2445798036076505,0.8184568000000002,1.0,0.62,0.97,,,,,0.02127659574468085,0.04,0.98,3969.5472638066713,0.04585465016947242,100,1.0,0.895766647647066,0.99,,,,,0.0,0.0
own,CHIB1_ASPFM_39_433_0,100,1.0,1.0,0.4656474503676949,6.4915657527564425,-0.8472658999999999,1.0,1.0,1.0,,,,,0.0,0.03,0.98,574.442586534332,0.03598389828183587,100,0.55,0.7558227101992814,0.47,,,,,0.0,0.0
own,AROE_THET8_1_263_0,100,1.0,1.0,0.4370332925494569,6.409893542641808,-0.2718840000000001,1.0,0.86,0.93,-4.6805,-4.727570000000001,-5.0685,-5.280449999999999,0.26,0.01,0.99,588.0731249080052,0.06409313984254808,100,1.0,0.8865058751847856,0.78,,-5.533,-5.587,,0.0,0.0
own,RIBB_VIBCH_2_218_0,100,1.0,1.0,0.45362193116327204,5.798927628268129,0.03272149999999995,1.0,0.15,0.99,,,,,0.53,0.0,1.0,403.54269036580695,0.11866065582652344,100,0.41,0.5473105470399153,0.17,,,,,0.0,0.0
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.4860991208954318,6.9200427924873384,-0.9860082999999997,1.0,0.53,0.98,-6.713,-6.70759,-6.836,-6.81461,0.1326530612244898,0.01,0.99,1205.3271646760033,0.06017424860660689,100,1.0,0.8910538132146579,0.898989898989899,,-9.723,-9.795,,0.0,0.0
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5265927850173032,7.095737863523999,0.5000896000000001,1.0,1.0,0.68,,,,,0.46464646464646464,0.0,1.0,293.64142917493206,0.07053569825848932,100,0.37,0.4571949592167476,0.36,,,,,0.0,0.0
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,,,,,0.01,0.0,1.0,1049.8204107826227,0.12188631831532103,100,0.49,0.4700371805723754,0.39,,,,,0.0,0.0
own,BACE2_HUMAN_76_460_0,100,1.0,1.0,0.3573180141746883,6.8983250944350765,0.5065123000000002,1.0,0.48,0.96,,,,,0.43434343434343436,0.0,1.0,825.9169986369909,0.046081572522410734,100,0.88,0.7701604485759631,0.84,,,,,0.0,0.0
own,TRAR_RHIRD_1_234_0,100,1.0,1.0,0.5415550056420402,7.309575704698554,0.3386901000000001,1.0,0.96,1.0,-10.7165,-10.50837,-9.777999999999999,-9.86016,0.04081632653061224,0.04,0.99,1727.3522554663393,0.064447183468373,100,1.0,0.8989177671413714,0.94,,-7.622,-7.597,,0.0,0.0
own,CD38_HUMAN_44_300_0,100,1.0,1.0,0.40284372644914085,6.7457082802863315,-0.24043260000000008,0.99,0.01,0.87,-6.497,-6.4544500000000005,-6.810499999999999,-6.79696,0.12121212121212122,0.0,1.0,926.6580842621818,0.05517792680484437,100,0.68,0.6559700731886658,0.44,,-9.943,-9.841,,0.0,0.0
own,HDAC8_HUMAN_1_377_0,100,1.0,1.0,0.35303364627563505,7.200995575173314,-0.47297010000000006,1.0,0.55,0.97,,,,,0.0,0.0,1.0,2471.2248155197935,0.030466155246134427,100,1.0,0.8857903182784398,0.74,,,,,0.0,0.0
own,PA21B_PIG_23_146_0,100,1.0,1.0,0.5869897453647632,6.543682761227145,0.3241593,1.0,0.97,0.99,,,,,0.74,0.02,0.99,483.56949963901417,0.059824433683609735,100,0.83,0.6129016194054462,0.58,,,,,0.0,0.0
own,P2Y12_HUMAN_1_342_0,100,1.0,1.0,0.39442738445249853,7.126984322711533,0.5976704,1.0,0.52,0.96,-8.8955,-9.00271,-8.0655,-8.346650000000002,0.10309278350515463,0.0,1.0,2103.513459262222,0.05190493164505686,100,1.0,0.8959418105293474,0.88,,-10.428,-10.513,,0.0,0.0
own,DIDH_RAT_1_319_0,100,1.0,1.0,0.6112215613942282,7.236378901795758,0.8213428000000002,1.0,0.9,0.98,-6.6735,-6.666130000000001,-7.02,-7.060010000000001,0.22,0.0,1.0,804.3148918354733,0.05663514770396476,100,1.0,0.8718152668944982,0.96,,-8.816,-8.838,,0.0,0.0
own,GSTP1_HUMAN_2_210_0,100,1.0,1.0,0.6980457123767377,6.401353002965859,1.0817412999999998,1.0,0.68,0.35,-6.162,-6.14968,-7.1965,-7.159659999999999,0.74,0.0,1.0,176.749736375961,0.10909514560407586,100,0.07,0.14124636663609913,0.07,,-7.102,-7.094,,0.0,0.0
own,BSD_ASPTE_1_130_0,100,1.0,1.0,0.3658786272555762,6.909212544443314,-1.2060348999999997,1.0,0.14,0.86,,,,,0.07291666666666667,0.46,0.95,2460.707452688057,0.06458894848325893,100,1.0,0.8803196342423937,0.95,,,,,0.0,0.0
own,PLCD1_RAT_134_756_0,100,1.0,1.0,0.6178907326590903,5.343586157776225,0.44094300000000003,1.0,0.0,0.71,-3.6285,-3.63094,-5.305,-5.2156899999999995,0.87,0.0,1.0,401.7516886243963,0.1210174429838035,100,0.17,0.3041543000978443,0.14,,-5.501,-5.586,,0.0,0.0
own,BGAT_HUMAN_63_353_0,100,1.0,1.0,0.393770817726038,6.434792855738803,-1.3881191000000002,1.0,0.13,0.82,,,,,0.08,0.0,1.0,1165.941863789944,0.0754676839330554,100,1.0,0.821629137650401,0.84,,,,,0.0,0.0
own,UBE2T_HUMAN_1_156_0,100,1.0,1.0,0.6077387843026253,7.233759528179239,1.0207338,1.0,0.99,0.98,-3.9395,-3.7479699999999996,-4.1,-4.10453,0.37373737373737376,0.01,0.99,516.5950999514711,0.05732023932959441,100,0.91,0.873336870929748,0.71,,-4.231,-4.195,,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,100,1.0,1.0,0.4746620990888063,6.922752380567525,0.33473099999999995,1.0,0.98,0.96,-4.6259999999999994,-4.69565,-4.9675,-5.065409999999999,0.41836734693877553,0.02,0.98,459.30625179768737,0.03729572946587835,100,0.75,0.8846569123746089,0.7,,-2.969,-3.129,,0.0,0.0
own,ROCO4_DICDI_1009_1292_0,100,1.0,1.0,0.38127153426615573,7.244979274804743,0.46570090000000003,1.0,0.0,0.96,,,,,0.1,0.0,1.0,1108.2963802149293,0.10991371382390992,100,0.92,0.6258126886438835,0.52,,,,,0.0,0.0
own,IPMK_HUMAN_49_416_0,100,1.0,1.0,0.478653142565504,6.981996751851269,0.12050839999999984,0.99,0.0,0.97,,,,,0.23,0.0,1.0,770.5954447023109,0.11150899433735298,100,0.8,0.5949711915638571,0.5,,,,,0.0,0.0
own,BAZ2A_HUMAN_1795_1898_0,100,1.0,1.0,0.5354155402503644,7.114081911721686,0.1695048999999999,1.0,0.91,0.96,-3.8785,-4.02597,-4.4215,-4.442939999999999,0.03,0.0,1.0,1413.66879493918,0.05666496541780594,100,0.91,0.894735371588486,0.8484848484848485,,-4.114,-4.138,,0.0,0.0
own,CHOD_BREST_46_552_0,100,1.0,1.0,0.6157740468451119,6.327370462061607,-0.5240936999999998,1.0,0.62,1.0,-6.9825,-6.89457,-6.9615,-6.85994,0.32323232323232326,0.0,1.0,595.6043308499304,0.046801345911316045,100,0.49,0.7212402646514526,0.24,,-9.593,-9.585,,0.0,0.0
